Artist,Song_Age,Decade,Number_of_Records,Spotify_Url,Theme,Title,Year
Echo and the Bunnymen,35,1980,1,http://open.spotify.com/track/15049rGLXHwrWtE4euUb5C,Heartbreak,The Killing Moon,1984
Elbow,13,2000,1,,Heartbreak,My Very Best,2006
Everything But the Girl,24,1990,1,http://open.spotify.com/track/0Y11QzoiLpdhPHAFcSJH9i,Heartbreak,Missing (Todd Terry remix),1995
Marianne Faithfull,40,1970,1,http://open.spotify.com/track/1XZLci5bjgHM5LC1Xs1cQe,Heartbreak,Why’d Ya Do It?,1979
Fleetwood Mac,42,1970,1,http://open.spotify.com/track/5qg6DB7nxilzxxzalcpNU3,Heartbreak,Go Your Own Way,1977
Stephen Fretwell,15,2000,1,http://open.spotify.com/track/3xC8ffyrb46M2xoyiAZijA,Heartbreak,Emily,2004
Marvin Gaye,52,1960,1,http://open.spotify.com/track/27m1soUndRthrAA1ediOXn,Heartbreak,I Heard it Through the Grapevine,1967
Gloria Gaynor,41,1970,1,http://open.spotify.com/track/1lBbC5ez7W0VgrRGGeybTY,Heartbreak,I Will Survive,1978
Glasvegas,12,2000,1,http://open.spotify.com/track/5Xkht48NOI9eirHjY7d87I,Heartbreak,Daddy’s Gone,2007
Lesley Gore,56,1960,1,http://open.spotify.com/track/4sR3U7qQAai4CI0q4zHlRW,Heartbreak,It’s My Party,1963
Al Green,47,1970,1,,Heartbreak,How Can You Mend a Broken Heart,1972
Halls and Oates,46,1970,1,,Heartbreak,She’s Gone,1973
The Handsome Family,21,1990,1,,Heartbreak,Weightless Again,1998
The House of Love,31,1980,1,,Heartbreak,Christine,1988
The Human League,38,1980,1,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c,Heartbreak,Don’t You Want Me?,1981
The Jackson 5,49,1970,1,http://open.spotify.com/track/2nPXRL8SX00vl9zeQHMSQp,Heartbreak,I Want You Back,1970
Joe Jackson,41,1970,1,http://open.spotify.com/track/3P97XnD4osOqR4lRPalNPV,Heartbreak,Is She Really Going Out With Him?,1978
Etta James,50,1960,1,http://open.spotify.com/track/2xxX1FmYQk7P0I5stRyNsT,Heartbreak,I’d Rather Go Blind,1969
Skip James,88,1930,1,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj,Heartbreak,Devil Got My Woman,1931
Daniel Johnston,29,1990,1,,Heartbreak,Some Things Last a Long Time,1990
Elton John,36,1980,1,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6,Heartbreak,I Guess That’s Why They Call it the Blues,1983
Gloria Jones,55,1960,1,,Heartbreak,Tainted Love,1964
Tom Jones,51,1960,1,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV,Heartbreak,Delilah,1968
Janis Joplin and Big Brother and the Holding Company,51,1960,1,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6,Heartbreak,Piece of My Heart,1968
Joy Division,39,1980,1,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf,Heartbreak,Love Will Tear Us Apart,1980
Kelis,20,1990,1,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z,Heartbreak,Caught Out There,1999
Alicia Keys,16,2000,1,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF,Heartbreak,You Don’t Know My Name,2003
The Killers,16,2000,1,http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI,Heartbreak,Mr Brightside,2003
BB King,50,1960,1,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB,Heartbreak,The Thrill is Gone,1969
Carole King,48,1970,1,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7,Heartbreak,It’s Too Late,1971
The Kinks,49,1970,1,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx,Heartbreak,Lola,1970
Bettye LaVette,54,1960,1,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH,Heartbreak,Let Me Down Easy,1965
John Lennon,48,1970,1,,Heartbreak,Jealous Guy,1971
Leona Lewis,12,2000,1,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe,Heartbreak,Bleeding Love,2007
Madonna,34,1980,1,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN,Heartbreak,Crazy For You,1985
McAlmont and Butler,24,1990,1,http://open.spotify.com/track/6joAGL5IuD66Qgcz049ObW,Heartbreak,Yes,1995
Van Morrison,40,1970,1,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR,Heartbreak,It’s All in the Game,1979
Morrissey,25,1990,1,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3,Heartbreak,"The More You Ignore Me, The Closer I Get",1994
The Mountain Goats,16,2000,1,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3,Heartbreak,No Children,2003
New Order,36,1980,1,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu,Heartbreak,Blue Monday,1983
Sinead O’Connor,29,1990,1,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa,Heartbreak,Nothing Compares 2 U,1990
Mary Margaret O’Hara,31,1980,1,,Heartbreak,To Cry About,1988
Roy Orbison,58,1960,1,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM,Heartbreak,Crying,1961
Gram Parsons with Emmylou Harris,45,1970,1,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1,Heartbreak,Love Hurts,1974
Gram Parsons,45,1970,1,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC,Heartbreak,"$1,000 Wedding",1974
